Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
i76yiicy,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,6,Closed Won,240,1,False,0,0,1,0,0
c22jgae0,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,2,6,Closed Won,360,0,False,0,0,1,0,0
17l95usd,0,0,0,0,0,1,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,1,Closed Won,768,2,False,0,0,0,1,0
fmvmjsww,0,0,0,0,0,1,True,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7,1,Closed Won,360,0,False,0,0,1,0,0
ddljiugk,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,6,Closed Won,768,245,False,0,0,1,0,0
ulaydoqg,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,6,Checkbox,768,0,False,0,0,0,1,0
5psy6yvl,0,0,0,0,0,1,True,1,0,0,1,1,0,1,0,0,0,0,1,0,0,2,6,Closed Won,768,0,False,0,0,1,0,0
5rlxkglv,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,1,0,0,9,28,Closed Lost,600,-1,True,0,0,1,0,0
skm82519,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8,1,Closed Lost,324,0,True,0,0,0,1,0
2w5ksdnm,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9,28,Closed Won,1344,0,False,0,0,1,0,0
hj94bzb5,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8,1,Closed Lost,1344,-44,False,0,0,1,0,0
vdlrwz17,0,0,0,0,0,1,True,0,0,1,0,1,0,1,0,0,0,0,0,0,1,8,1,Closed Won,240,-38,False,0,0,1,0,0
vgj0l4nc,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,6,Closed Won,360,0,False,0,0,0,1,0
g6x7b787,0,0,0,0,0,1,True,0,1,1,1,0,0,1,0,0,0,0,1,0,0,8,1,Closed Won,960,0,True,0,0,1,0,0
cwf2al9p,0,0,0,0,0,1,True,0,1,0,1,0,0,1,0,0,0,0,1,0,0,10,29,Closed Lost,240,15,False,0,0,1,0,0
ap103okr,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,29,Closed Won,1344,0,False,0,0,1,0,0
65bt31yn,0,0,0,0,0,1,True,1,0,0,1,1,0,1,0,0,0,0,1,0,0,8,1,Closed Lost,576,-113,True,1,0,0,0,0
183u17g7,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,6,Closed Won,960,0,False,0,0,1,0,0
gnxeytf3,0,0,0,0,0,1,True,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,6,Closed Lost,240,92,False,0,0,1,0,0
jvq7h81o,0,0,0,0,0,1,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,3,6,Closed Lost,324,253,True,0,0,1,0,0
f65z107g,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,6,Closed Won,768,0,False,0,0,1,0,0
rwcfu8cm,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,1,Closed Lost,360,61,True,0,0,1,0,0
ury7e4yl,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,1,0,0,10,29,Closed Lost,1008,5,True,0,0,1,0,0
c2oooeqk,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,9,1,Closed Won,1344,7,False,0,0,0,1,0
8svdpx05,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10,29,Closed Won,360,1,False,0,0,1,0,0
tkc85ljs,0,0,0,0,0,1,True,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,6,Closed Won,960,30,False,0,0,1,0,0
c1hjtjf1,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,9,1,Closed Lost,576,-84,True,0,0,1,0,0
dlysgn8g,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,9,1,Closed Won,600,0,False,0,0,1,0,0
